fecha,estacion,O3,NO2,PM25
2020-11-26 20:00:00,AJU,72.3268356323,18.1660785675,13.9956932068
2020-11-26 21:00:00,AJU,78.0076904297,17.1222286224,18.3286952972
2020-11-26 22:00:00,AJU,73.6215057373,16.0964317322,16.281496048
2020-11-26 23:00:00,AJU,62.5118103027,24.2864990234,16.6783065796
2020-11-27 00:00:00,AJU,55.4505767822,24.0677051544,14.7677793503
2020-11-27 01:00:00,AJU,59.5879859924,11.2842636108,11.1551856995
2020-11-27 02:00:00,AJU,63.3377227783,6.72422409058,10.5617961884
2020-11-27 03:00:00,AJU,74.1440353394,6.23817205429,13.754776001
2020-11-27 04:00:00,AJU,74.8289260864,3.78935050964,11.6617689133
2020-11-27 05:00:00,AJU,68.6809539795,2.50302243233,9.53125
2020-11-25 06:00:00,ATI,35.7762374878,9.14398384094,7.48016309738
2020-11-25 07:00:00,ATI,38.9358940125,6.07178640366,5.36196708679
2020-11-25 08:00:00,ATI,39.092754364,5.88317489624,4.55416870117
2020-11-25 09:00:00,ATI,36.3894004822,8.65469169617,4.53553295135
2020-11-25 10:00:00,ATI,32.0002822876,13.2744340897,5.08901262283
2020-11-25 11:00:00,ATI,24.4883480072,21.3786773682,5.86670589447
2020-11-25 12:00:00,ATI,11.9886932373,34.9056549072,7.83179330826
2020-11-25 13:00:00,ATI,8.82587814331,39.1226196289,10.4985685349
2020-11-25 14:00:00,ATI,14.6909456253,35.9117050171,12.1658248901
2020-11-25 15:00:00,ATI,18.4093589783,37.042175293,13.0433883667
2020-11-25 16:00:00,ATI,32.1282539368,25.3262290955,8.71898460388
2020-11-25 17:00:00,ATI,54.0954017639,10.9562559128,4.9506983757
2020-11-25 18:00:00,ATI,58.9800071716,7.26488924026,3.73519873619
2020-11-25 19:00:00,ATI,60.3059844971,7.0357465744,4.70954751968
2020-11-25 20:00:00,ATI,60.7145729065,6.23540306091,4.60343837738
2020-11-25 21:00:00,ATI,56.8928985596,6.61061143875,4.12729883194
2020-11-25 22:00:00,ATI,47.3811721802,10.0975952148,3.12613749504
2020-11-25 23:00:00,ATI,36.8022460938,16.7862625122,4.19719362259
2020-11-26 00:00:00,ATI,28.9187431335,18.3375492096,4.80356502533
2020-11-26 01:00:00,ATI,22.4636459351,23.3085536957,6.07087516785
2020-11-26 02:00:00,ATI,22.629617691,19.7777366638,5.51799678802
2020-11-26 03:00:00,ATI,26.2180747986,15.2735900879,4.62584638596
2020-11-26 04:00:00,ATI,29.9254512787,12.9927406311,4.28073549271
2020-11-26 05:00:00,ATI,32.3656959534,11.4206361771,4.20417976379
2020-11-26 06:00:00,ATI,32.1045761108,10.5024061203,4.84766149521
2020-11-26 07:00:00,ATI,33.7569847107,8.3975276947,4.83509254456
2020-11-26 08:00:00,ATI,33.244884491,7.7846364975,5.40475702286
2020-11-26 09:00:00,ATI,32.5305633545,8.36229133606,5.80704879761
2020-11-26 10:00:00,ATI,31.2306461334,11.144320488,5.4492764473
2020-11-26 11:00:00,ATI,22.515707016,20.9535770416,6.85417222977
2020-11-26 12:00:00,ATI,9.18041992188,36.3958511353,9.90444946289
2020-11-26 13:00:00,ATI,8.23830604553,38.6966552734,11.6847982407
2020-11-26 14:00:00,ATI,20.5404262543,28.0153617859,11.5589227676
2020-11-26 15:00:00,ATI,31.8314247131,20.1883125305,10.7573375702
2020-11-26 16:00:00,ATI,42.7591819763,16.720457077,8.71403217316
2020-11-26 17:00:00,ATI,58.0997276306,12.2869777679,6.04504680634
2020-11-26 18:00:00,ATI,68.7550582886,9.65159606934,6.93913316727
2020-11-26 19:00:00,ATI,64.9870147705,8.27306461334,7.65856838226
2020-11-26 20:00:00,ATI,66.7097091675,7.84940481186,6.59289455414
2020-11-26 21:00:00,ATI,64.3905792236,8.20904541016,5.45368242264
2020-11-26 22:00:00,ATI,54.1809806824,11.3328151703,5.48836708069
2020-11-26 23:00:00,ATI,41.8941497803,20.7939548492,6.64482164383
2020-11-27 00:00:00,ATI,36.353843689,17.983549118,5.01477766037
2020-11-27 01:00:00,ATI,28.0954227448,20.9522304535,5.81730461121
2020-11-27 02:00:00,ATI,25.9816608429,19.8122997284,5.99400663376
2020-11-27 03:00:00,ATI,26.513671875,17.6999912262,5.94304704666
2020-11-27 04:00:00,ATI,29.3630409241,14.6288394928,5.26239204407
2020-11-27 05:00:00,ATI,29.7079429626,13.7522974014,5.67596626282
2020-11-25 06:00:00,BJU,10.6668710709,34.813041687,12.8375816345
2020-11-25 07:00:00,BJU,23.975528717,20.5272960663,10.1620168686
2020-11-25 08:00:00,BJU,27.2122116089,16.6816997528,9.0258731842
2020-11-25 09:00:00,BJU,20.6752891541,22.0284118652,9.93583965302
2020-11-25 10:00:00,BJU,12.3435134888,30.0464763641,11.2720308304
2020-11-25 11:00:00,BJU,4.55655479431,39.3161888123,12.4593048096
2020-11-25 12:00:00,BJU,0.0203959792852,47.4218978882,21.0956916809
2020-11-25 13:00:00,BJU,1.36361908913,53.2444763184,31.6809844971
2020-11-25 14:00:00,BJU,6.76040744781,56.5861816406,30.428483963
2020-11-25 15:00:00,BJU,16.6230621338,46.1350898743,18.5312767029
2020-11-25 16:00:00,BJU,27.1113414764,34.25,11.1212024689
2020-11-25 17:00:00,BJU,39.5995788574,32.2269592285,11.2701215744
2020-11-25 18:00:00,BJU,58.7208557129,31.6092071533,18.9518527985
2020-11-25 19:00:00,BJU,61.8585929871,19.1153850555,12.7134456635
2020-11-25 20:00:00,BJU,60.2348709106,14.9646272659,8.67661380768
2020-11-25 21:00:00,BJU,58.0153694153,13.3372898102,7.30211877823
2020-11-25 22:00:00,BJU,48.8449897766,15.2045841217,5.84494304657
2020-11-25 23:00:00,BJU,32.0013656616,26.3273925781,4.95793676376
2020-11-26 00:00:00,BJU,14.4708890915,40.5702857971,6.77304553986
2020-11-26 01:00:00,BJU,9.47017288208,42.0572090149,7.16385507584
2020-11-26 02:00:00,BJU,1.05540990829,49.3739852905,11.6270961761
2020-11-26 03:00:00,BJU,6.61655712128,38.8294258118,8.46689987183
2020-11-26 04:00:00,BJU,10.3562850952,34.8632698059,7.48173666
2020-11-26 05:00:00,BJU,14.8492937088,29.822019577,6.34800195694
